player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
Ron Harper,6.75,2.9,3.85,24.85,0.543
Ron Mercer,15.0,2.52,3.4,33.96,0.616
Ronald Murray,10.2,2.412,2.062,23.225,0.632
Rondae Hollis-Jefferson,10.5,2.033,5.967,23.9,0.774
Ronnie Brewer,9.517,2.217,3.317,27.983,0.538
Ronnie Price,5.1,3.8,1.6,22.8,0.461
Ronny Turiaf,5.4,2.1,4.55,21.15,0.57
Roy Hibbert,10.914,1.5,6.986,27.071,0.717
Royce O'Neale,7.633,2.578,4.944,27.322,0.555
Ruben Patterson,11.2,1.811,4.178,25.333,0.679
Rudy Fernández,9.033,2.167,2.5,24.033,0.57
Rudy Gay,16.838,2.231,5.794,32.556,0.764
Rudy Gobert,13.017,1.442,12.125,31.883,0.834
Rui Hachimura,12.571,1.229,4.643,27.757,0.664
Russell Westbrook,20.668,7.884,6.895,32.737,1.083
Ryan Anderson,13.786,0.957,5.714,28.4,0.72
Ryan Arcidiacono,6.7,3.3,2.7,24.2,0.525
Ryan Bowen,4.9,0.7,4.0,22.5,0.427
Ryan Gomes,10.617,1.533,4.833,28.683,0.592
Ryan Kalkbrenner,7.6,0.8,5.5,21.4,0.65
Ryan Kelly,7.2,1.7,3.25,22.95,0.529
Ryan Rollins,17.3,5.6,4.6,32.1,0.857
Saddiq Bey,14.717,1.883,5.233,30.1,0.725
Salim Stoudamire,9.7,1.2,1.9,20.3,0.631
Sam Cassell,16.689,6.267,3.467,31.5,0.839
Sam Hauser,8.9,1.133,3.5,22.833,0.593
Sam Merrill,12.8,2.4,2.6,26.5,0.672
Sam Perkins,6.6,0.8,3.6,20.0,0.55
Sam Young,7.3,0.9,2.4,20.2,0.525
Samaki Walker,6.7,0.9,7.0,24.0,0.608
Samuel Dalembert,8.14,0.53,8.27,25.97,0.652
Sandro Mamukelashvili,11.2,1.9,4.9,21.9,0.822
Santi Aldama,11.55,2.35,5.925,25.425,0.78
Sasha Pavlović,8.2,1.6,2.45,23.1,0.53
Sasha Vujačić,10.6,2.15,3.05,26.55,0.595
Scoot Henderson,13.35,5.25,3.05,27.6,0.784
Scot Pollard,6.45,0.65,6.55,22.5,0.607
Scott Williams,7.6,0.4,6.6,21.9,0.667
Scottie Barnes,17.58,5.22,7.5,34.28,0.884
Scottie Pippen,11.3,5.0,5.25,32.225,0.669
Scotty Pippen Jr.,9.9,4.4,3.3,21.3,0.826
Sean Elliott,7.9,1.6,3.3,23.6,0.542
Sean Kilpatrick,13.1,2.2,4.0,25.1,0.769
Sebastian Telfair,8.675,4.225,1.8,26.1,0.563
Serge Ibaka,13.183,0.933,7.425,29.133,0.739
Sergio Rodríguez,7.8,5.1,2.3,22.3,0.682
Seth Curry,13.54,2.98,2.76,30.1,0.641
Shabazz Muhammad,10.5,0.6,3.3,20.5,0.702
Shabazz Napier,9.5,3.35,2.55,22.35,0.689
Shaedon Sharpe,16.4,2.2,3.933,27.633,0.815
Shai Gilgeous-Alexander,25.657,5.314,4.757,33.257,1.074
Shake Milton,9.75,2.85,2.4,21.325,0.703
Shammond Williams,7.65,2.95,2.2,23.5,0.545
Shandon Anderson,9.325,1.95,3.675,26.975,0.554
Shane Battier,8.5,1.821,4.193,30.586,0.475
Shane Larkin,6.75,3.7,2.3,23.45,0.544
Shannon Brown,9.867,1.433,2.467,22.733,0.606
Shaquille O'Neal,21.655,2.527,10.073,33.218,1.031
Shareef Abdur-Rahim,17.478,2.5,7.856,34.622,0.804
Shaun Livingston,7.38,3.94,2.9,25.2,0.564
Shawn Bradley,7.4,0.667,6.6,23.5,0.624
Shawn Kemp,12.3,1.2,7.25,25.55,0.812
Shawn Marion,15.247,1.935,8.888,35.029,0.744
Shawne Williams,6.85,0.75,3.45,20.85,0.53
Shelden Williams,4.6,0.6,6.0,22.0,0.509
Shelvin Mack,7.86,3.34,2.14,21.44,0.622
Simone Fontecchio,9.7,1.5,3.6,24.05,0.615
Sion James,5.4,2.0,3.5,22.5,0.484
Skal Labissière,8.7,1.2,4.8,20.7,0.71
Smush Parker,11.3,3.25,2.9,31.9,0.547
Solomon Hill,6.175,1.6,3.4,25.0,0.447
Sonny Weems,9.2,1.8,2.6,23.9,0.569
Speedy Claxton,10.0,4.817,2.65,27.6,0.633
Spencer Dinwiddie,13.882,5.364,3.264,29.555,0.762
Spencer Hawes,10.967,2.35,7.15,27.733,0.738
Spencer Jones,5.5,0.8,3.3,22.1,0.434
Stacey Augmon,5.8,1.2,2.5,20.5,0.463
Stanislav Medvedenko,8.3,0.8,5.0,21.2,0.665
Stanley Johnson,7.75,1.55,3.675,23.325,0.556
Stephen Curry,25.353,6.24,4.707,33.987,1.068
Stephen Jackson,16.625,3.342,4.192,34.108,0.708
Stephon Castle,15.7,5.75,4.5,28.35,0.915
Stephon Marbury,20.356,7.811,3.089,38.778,0.806
Sterling Brown,8.2,1.4,4.4,24.1,0.581
Steve Blake,7.336,4.536,2.327,27.218,0.522
Steve Francis,17.811,5.933,5.467,37.411,0.781
Steve Nash,15.443,9.3,3.179,33.271,0.839
Steve Novak,6.6,0.4,1.9,20.3,0.438
Steve Smith,13.367,2.367,3.233,30.967,0.612
Steven Adams,9.867,1.722,8.9,28.244,0.725
Steven Hunter,6.4,0.4,4.8,22.9,0.507
Stromile Swift,10.125,0.625,5.25,22.575,0.709
Svi Mykhailiuk,8.967,1.833,2.3,21.933,0.597
T.J. Ford,11.767,6.033,3.217,28.583,0.735
T.J. McConnell,7.625,5.625,3.225,23.75,0.694
T.J. Warren,16.56,1.26,4.3,30.26,0.731
Taj Gibson,9.542,1.008,6.35,25.408,0.665
Talen Horton-Tucker,9.9,3.1,3.0,21.833,0.733
Tarence Kinsey,7.7,0.9,2.0,20.1,0.527
Tari Eason,10.6,1.367,6.233,24.067,0.756
Tariq Abdul-Wahad,11.8,1.6,5.0,26.05,0.706
Taurean Prince,10.771,1.914,3.814,26.5,0.623
Taylor Hendricks,7.3,0.8,4.6,21.4,0.593
Tayshaun Prince,12.054,2.569,4.592,32.785,0.586
Terance Mann,8.66,2.26,3.64,24.42,0.596
Terrance Ferguson,5.4,0.95,1.6,24.25,0.328
Terrell Brandon,16.55,8.2,3.6,36.3,0.781
Terrence Jones,10.775,1.05,5.675,24.125,0.725
Terrence Ross,11.245,1.318,2.791,24.855,0.618
Terrence Williams,8.4,2.9,4.5,22.6,0.699
Terry Mills,6.7,1.0,4.8,22.5,0.556
Terry Porter,8.3,3.2,2.65,22.35,0.633
Terry Rozier,16.188,3.988,4.188,30.712,0.793
Thabo Sefolosha,6.222,1.556,3.989,24.633,0.478
Thaddeus Young,13.12,1.9,5.86,30.067,0.694
Theo Ratliff,8.414,0.786,6.886,30.314,0.531
Thomas Bryant,11.933,1.267,6.767,22.367,0.893
Théo Maledon,10.1,3.5,3.2,27.4,0.613
Tiago Splitter,9.25,1.55,6.3,23.1,0.74
Tidjane Salaün,5.9,1.2,4.7,20.7,0.57
Tim Duncan,18.594,3.065,10.665,33.259,0.972
Tim Frazier,7.1,5.2,2.7,23.5,0.638
Tim Hardaway,11.875,5.375,2.275,28.3,0.69
Tim Hardaway Jr.,14.677,1.938,3.023,28.531,0.688
Tim Thomas,12.622,1.822,4.489,28.756,0.658
Timofey Mozgov,9.275,0.775,6.375,23.05,0.713
Tobias Harris,16.471,2.394,6.318,32.288,0.78
Todd MacCulloch,9.7,1.3,6.1,24.2,0.707
Tom Gugliotta,7.925,1.625,5.375,24.825,0.601
Tomáš Satoranský,8.425,4.75,3.25,25.25,0.65
Toney Douglas,9.65,2.8,2.65,22.5,0.671
Toni Kukoč,9.914,3.243,3.843,24.386,0.697
Tony Allen,8.957,1.371,4.229,25.071,0.581
Tony Battie,6.457,0.571,5.729,23.614,0.54
Tony Delk,10.82,2.04,3.04,24.84,0.64
Tony Parker,16.219,5.838,2.794,31.556,0.787
Tony Snell,6.8,1.4,2.48,25.16,0.424
Tony Wroten,13.0,3.0,3.2,24.5,0.784
Torrey Craig,6.55,1.2,4.175,21.375,0.558
Toumani Camara,10.733,1.967,5.267,30.267,0.594
Tracy McGrady,23.22,5.06,6.08,36.3,0.947
Tracy Murray,10.2,0.9,3.4,22.9,0.633
Trae Young,25.5,9.871,3.5,34.514,1.126
Travis Best,8.8,4.26,2.04,24.58,0.614
Travis Diener,6.9,3.8,1.7,20.5,0.605
Travis Outlaw,11.225,1.025,3.975,26.525,0.612
Tre Johnson,12.2,2.0,2.8,24.1,0.705
Tre Jones,12.333,6.067,3.5,28.0,0.782
Tre Mann,9.85,2.75,3.25,23.45,0.676
Trendon Watford,10.2,2.6,3.6,20.8,0.788
Trenton Hassell,6.075,1.812,3.0,26.262,0.415
Trevor Ariza,11.564,2.464,5.1,32.036,0.597
Trevor Booker,7.775,1.175,6.375,23.05,0.665
Trey Burke,12.067,4.1,2.5,27.9,0.669
Trey Lyles,8.033,1.167,5.067,20.233,0.705
Trey Murphy III,18.0,2.725,4.825,32.775,0.78
Tristan Da Silva,8.55,1.55,3.5,23.35,0.582
Tristan Thompson,9.23,1.09,8.63,27.31,0.694
Troy Brown Jr.,8.75,1.95,4.85,25.15,0.618
Troy Daniels,8.9,0.6,1.6,20.5,0.541
Troy Hudson,10.85,4.075,1.95,25.85,0.653
Troy Murphy,12.95,1.788,9.05,31.225,0.762
Ty Lawson,11.922,5.722,2.622,28.422,0.713
Tyler Hansbrough,10.15,0.55,4.8,21.85,0.709
Tyler Herro,19.017,3.967,5.0,32.35,0.865
Tyler Johnson,11.775,2.725,3.3,27.65,0.644
Tyler Ulis,7.8,4.4,1.8,23.4,0.598
Tyler Zeller,9.05,1.3,5.7,23.75,0.676
Tyreke Evans,16.288,4.825,4.638,31.625,0.814
Tyrese Haliburton,17.0,8.567,3.667,33.167,0.881
Tyrese Martin,8.7,2.0,3.7,21.9,0.658
Tyrese Maxey,23.66,5.34,3.44,36.42,0.891
Tyrone Hill,9.067,0.7,8.4,28.967,0.627
Tyrone Nesby,9.075,1.4,3.45,25.925,0.537
Tyronn Lue,10.571,3.986,2.0,26.914,0.615
Tyrus Thomas,10.133,0.9,6.033,23.7,0.72
Tyson Chandler,8.8,0.847,9.673,28.993,0.666
Tyus Jones,9.62,5.4,2.4,24.9,0.7
Udonis Haslem,9.588,1.05,8.012,30.388,0.614
VJ Edgecombe,16.0,4.2,5.6,35.0,0.737
Vernon Maxwell,10.9,1.6,1.7,21.0,0.676
Victor Oladipo,16.233,3.75,4.267,32.217,0.753
Victor Wembanyama,23.567,3.567,11.033,30.7,1.243
Viktor Khryapa,5.8,1.3,4.4,21.6,0.532
Vin Baker,13.175,1.4,6.25,29.875,0.697
Vince Carter,19.561,3.528,4.728,33.467,0.831
Vince Williams Jr.,8.75,3.8,4.75,24.05,0.719
Vincent Yarbrough,6.9,2.2,2.7,23.4,0.504
Vit Krejci,7.2,2.6,2.7,20.2,0.619
Vitaly Potapenko,7.933,0.867,5.567,22.567,0.637
Vlade Divac,11.04,3.66,7.52,29.52,0.753
Vladimir Radmanović,9.288,1.512,4.3,24.95,0.605
Vladimir Stepania,5.6,0.3,7.0,20.2,0.639
Vonteego Cummings,8.35,3.35,2.3,23.3,0.601
Voshon Lenard,12.82,2.24,2.9,28.18,0.637
Vít Krejčí,8.75,1.5,2.2,21.85,0.57
Walker Kessler,9.467,1.167,9.367,25.433,0.786
Wally Szczerbiak,14.81,2.38,4.01,31.35,0.676
Walt Williams,9.533,1.6,3.6,23.267,0.633
Walter Clayton,7.8,4.0,2.0,20.4,0.676
Walter McCarty,7.0,1.45,3.3,24.25,0.485
Wayne Ellington,9.6,1.286,2.329,23.657,0.559
Wayne Selden,8.0,1.7,3.2,22.9,0.563
Wendell Carter Jr.,11.862,1.962,8.162,27.525,0.799
Wesley Johnson,7.717,1.233,3.383,24.6,0.501
Wesley Matthews,12.508,2.046,2.9,30.869,0.565
Wesley Person,10.6,1.8,3.275,28.25,0.555
Will Barton,13.971,3.386,4.971,30.571,0.73
Will Bynum,10.0,4.5,2.3,26.5,0.634
Will Richard,6.4,1.3,2.5,20.0,0.51
Will Riley,10.3,2.0,2.9,22.1,0.688
Willie Cauley-Stein,9.36,1.64,6.54,23.98,0.731
Willie Green,9.92,1.72,2.02,23.42,0.583
Wilson Chandler,13.36,1.81,5.44,31.05,0.664
Xavier Henry,10.0,1.2,2.7,21.1,0.659
Yao Ming,19.757,1.657,9.414,33.029,0.933
Yi Jianlian,9.733,0.9,5.9,26.7,0.619
Yogi Ferrell,10.1,3.1,2.7,26.9,0.591
Yves Missi,9.1,1.4,8.2,26.8,0.698
Zaccharie Risacher,11.1,1.15,3.7,23.5,0.679
Zach Collins,11.4,2.85,5.9,22.5,0.896
Zach Edey,9.2,1.0,8.3,21.5,0.86
Zach LaVine,21.61,4.07,4.17,33.42,0.893
Zach Randolph,18.05,2.014,9.786,33.221,0.899
Zaza Pachulia,8.886,1.829,7.386,26.386,0.686
Ziaire Williams,9.125,1.225,3.15,22.375,0.603
Zion Williamson,23.633,3.967,6.233,31.467,1.075
Zydrunas Ilgauskas,13.6,1.256,7.456,27.922,0.799
Ömer Aşık,7.733,0.767,9.8,25.433,0.72
Šarūnas Jasikevičius,7.3,3.0,2.0,20.8,0.591
