player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
CJ McCollum,21.083,4.242,3.842,33.683,0.866
Cade Cunningham,22.525,8.025,5.35,33.75,1.064
Calbert Cheaney,7.833,1.767,3.433,26.4,0.494
Caleb Love,10.4,2.5,2.3,20.7,0.734
Caleb Martin,9.175,1.75,4.225,26.675,0.568
Cam Reddish,8.925,1.225,2.525,23.175,0.547
Cam Spencer,11.1,5.6,2.5,23.8,0.807
Cam Thomas,18.0,2.75,2.45,26.2,0.885
Cameron Johnson,12.971,2.029,3.929,27.2,0.696
Cameron Payne,10.55,4.7,2.6,21.1,0.846
Caris LeVert,14.233,4.033,3.822,27.822,0.794
Carl Landry,12.743,0.8,5.286,25.7,0.733
Carlos Arroyo,7.56,3.52,1.86,22.36,0.579
Carlos Boozer,16.273,2.255,9.473,31.273,0.895
Carlos Delfino,10.22,2.22,4.2,28.0,0.594
Carlos Rogers,8.0,0.8,5.2,20.8,0.673
Carmelo Anthony,22.637,2.758,6.279,34.574,0.916
Caron Butler,14.608,2.385,5.254,33.308,0.668
Casey Jacobsen,6.7,1.433,2.3,22.733,0.459
Cason Wallace,7.933,2.2,2.933,24.933,0.524
Cedi Osman,10.76,2.28,3.24,25.9,0.629
Cedric Ceballos,16.6,1.3,6.7,29.9,0.823
Cedric Coward,13.6,2.8,5.9,25.8,0.864
Chandler Hutchison,5.2,0.8,4.2,20.3,0.502
Chandler Parsons,14.2,2.96,5.04,33.02,0.672
Channing Frye,10.657,1.171,5.457,27.1,0.638
Charles Oakley,6.767,2.867,7.433,30.067,0.568
Charlie Bell,8.88,2.4,2.24,25.7,0.526
Charlie Villanueva,12.78,1.04,5.56,25.14,0.771
Charlie Ward,7.2,4.433,2.833,24.767,0.584
Chase Budinger,9.433,1.367,3.433,21.6,0.659
Chasson Randle,6.5,1.8,2.0,20.4,0.505
Chauncey Billups,16.331,5.846,2.992,32.938,0.764
Chet Holmgren,16.8,2.05,8.4,29.15,0.935
Chimezie Metu,8.9,1.0,5.6,21.3,0.728
Chris Andersen,6.667,0.633,6.233,21.4,0.632
Chris Bosh,19.392,2.046,8.438,35.723,0.836
Chris Boucher,10.8,0.6,6.133,21.767,0.806
Chris Carr,9.55,1.55,3.1,21.15,0.671
Chris Childs,4.725,4.575,2.4,24.05,0.486
Chris Crawford,10.2,0.8,3.1,21.6,0.653
Chris Douglas-Roberts,8.0,1.167,2.467,22.2,0.524
Chris Duarte,13.1,2.1,4.1,28.0,0.689
Chris Duhon,7.683,5.117,2.567,28.383,0.541
Chris Gatling,12.2,0.833,5.933,22.333,0.849
Chris Kaman,11.875,1.338,8.125,28.95,0.737
Chris Mihm,9.233,0.667,6.1,24.467,0.654
Chris Paul,16.96,9.215,4.42,33.635,0.91
Chris Porter,8.6,1.2,3.7,22.5,0.6
Chris Quinn,7.8,3.0,2.0,22.3,0.574
Chris Singleton,4.6,0.7,3.5,21.7,0.406
Chris Webber,20.289,4.3,9.422,36.256,0.938
Chris Whitney,8.9,3.6,1.667,24.367,0.581
Chris Wilcox,11.833,1.0,6.467,26.7,0.723
Christian Braun,11.567,2.3,4.567,28.633,0.644
Christian Eyenga,6.9,0.8,2.8,21.5,0.488
Christian Laettner,8.56,2.3,5.62,25.2,0.654
Christian Wood,17.15,1.7,8.325,27.6,0.985
Chuck Hayes,5.967,1.667,6.833,23.9,0.605
Chucky Atkins,10.912,3.55,1.85,27.212,0.599
Chuma Okeke,8.2,1.95,4.5,25.1,0.584
Clarence Weatherspoon,8.475,1.125,7.825,27.75,0.628
Clifford Robinson,12.05,2.4,3.762,30.925,0.589
Clint Capela,12.725,1.062,10.988,27.062,0.915
Coby White,15.371,3.829,3.586,28.929,0.788
Cody Martin,7.25,2.25,4.1,24.2,0.562
Cody Williams,6.7,1.6,2.65,22.75,0.481
Cody Zeller,9.533,1.6,6.533,24.25,0.729
Cole Anthony,13.45,4.15,4.675,26.775,0.832
Collin Gillespie,12.7,4.6,4.1,28.5,0.751
Collin Murray-Boyles,8.5,1.9,5.0,21.9,0.703
Collin Sexton,17.85,3.675,2.6,28.062,0.86
Cooper Flagg,21.0,4.5,6.7,33.5,0.961
Corey Brewer,9.93,1.64,3.0,24.93,0.584
Corey Kispert,11.075,1.5,2.825,25.95,0.593
Corey Maggette,17.833,2.367,5.167,30.856,0.822
Corliss Williamson,11.129,1.043,3.986,22.586,0.715
Cory Joseph,7.675,3.312,2.775,24.538,0.561
Courtney Alexander,9.067,1.233,2.2,21.867,0.572
Courtney Lee,10.125,1.708,2.683,28.483,0.51
Craig Smith,9.4,0.8,4.6,20.1,0.736
Cuttino Mobley,16.67,2.79,4.01,37.71,0.622
D'Angelo Russell,17.445,5.755,3.318,29.927,0.886
D.J. Augustin,11.78,4.83,2.13,27.13,0.691
DaQuan Jeffries,6.7,1.1,2.9,22.8,0.469
Daequan Cook,8.95,1.1,2.75,24.4,0.525
Dahntay Jones,8.85,1.45,2.5,23.15,0.553
Dajuan Wagner,13.4,2.8,1.7,29.5,0.607
Dale Davis,7.2,1.05,7.45,26.6,0.59
Damian Lillard,25.475,6.783,4.3,36.233,1.009
Damien Wilkins,9.0,1.95,3.0,24.55,0.568
Damion Lee,10.45,2.0,3.95,24.7,0.664
Damon Jones,8.433,4.067,2.167,27.167,0.54
Damon Stoudamire,11.8,5.357,3.3,31.243,0.655
Damyean Dotson,10.7,1.8,3.6,27.5,0.585
Dan Dickau,12.85,5.05,2.6,30.2,0.679
Dan Gadzuric,7.3,0.4,8.3,22.0,0.727
Dan Majerle,6.15,2.35,3.95,29.0,0.429
Daniel Gafford,10.35,1.267,6.767,22.483,0.818
Daniel Gibson,8.8,2.275,2.075,25.525,0.515
Daniel Theis,9.125,1.475,5.55,23.5,0.687
Danilo Gallinari,15.917,1.983,4.9,30.708,0.742
Daniss Jenkins,9.3,3.9,2.3,20.2,0.767
Danny Ferry,6.45,1.0,3.3,21.05,0.511
Danny Fortson,11.2,1.6,11.7,28.8,0.851
Danny Granger,17.288,1.95,4.975,31.812,0.761
Danny Green,8.836,1.582,3.5,25.818,0.539
Danny Wolf,8.9,2.2,4.9,20.8,0.769
Dante Cunningham,6.225,0.75,3.975,23.025,0.476
Dante Exum,4.8,2.4,1.6,22.2,0.396
Danuel House Jr.,10.5,1.3,4.2,30.4,0.526
Dario Šarić,11.84,1.96,6.06,25.9,0.767
Darius Bazley,12.25,1.6,6.75,29.55,0.697
Darius Garland,18.629,6.614,2.614,32.743,0.851
Darius Miles,11.2,1.986,5.029,28.2,0.646
Darius Miller,8.0,1.75,1.95,24.6,0.476
Darius Songaila,8.35,1.4,4.1,21.0,0.66
Darko Miličić,8.0,1.133,5.6,24.033,0.613
Darrell Armstrong,12.9,5.28,3.66,31.78,0.687
Darrell Arthur,8.3,1.05,4.25,20.9,0.651
Darren Collison,12.63,5.02,2.69,29.67,0.686
David Lee,16.375,2.538,10.325,34.3,0.852
David Nwaba,7.9,1.5,4.7,23.5,0.6
David Robinson,13.225,1.375,8.6,29.325,0.791
David Roddy,8.4,1.6,4.2,23.2,0.612
David Wesley,13.55,3.612,2.512,35.1,0.561
David West,17.05,2.45,7.6,34.12,0.794
Davion Mitchell,8.75,5.05,2.275,27.05,0.594
De'Aaron Fox,21.71,6.16,4.02,33.5,0.952
De'Andre Hunter,14.486,1.643,4.029,28.929,0.697
De'Anthony Melton,10.575,2.6,3.725,23.425,0.721
DeAndre Jordan,10.033,1.2,11.533,29.025,0.784
DeAndre' Bembry,7.1,2.2,3.95,22.4,0.592
DeJuan Blair,8.9,1.1,6.25,21.35,0.761
DeMar DeRozan,21.124,4.124,4.294,34.494,0.856
DeMarcus Cousins,22.556,3.489,11.1,32.822,1.132
DeMarre Carroll,11.44,1.56,5.28,28.96,0.631
DeShawn Stevenson,10.217,2.067,2.933,28.733,0.53
Dean Wade,5.325,1.1,3.95,21.075,0.492
Deandre Ayton,15.643,1.471,10.043,30.157,0.901
Dejounte Murray,16.467,5.683,6.25,30.983,0.917
Delon Wright,8.24,3.56,3.62,23.42,0.658
Delonte West,10.4,3.8,3.1,29.017,0.596
Deni Avdija,13.283,3.4,6.317,27.917,0.824
Dennis Schröder,14.5,5.136,3.05,28.814,0.787
Dennis Smith Jr.,12.533,4.933,3.267,27.967,0.741
Denzel Valentine,10.2,3.2,5.1,27.2,0.68
DerMarr Johnson,8.4,1.1,3.4,24.0,0.538
Dereck Lively II,8.8,1.1,6.9,23.5,0.715
Derek Anderson,12.0,3.375,3.312,29.938,0.624
Derek Fisher,9.062,3.1,2.185,27.6,0.52
Derik Queen,11.7,3.7,7.1,25.0,0.9
Deron Williams,16.479,8.064,3.121,34.007,0.813
Derrick Brown,8.1,1.0,3.6,22.2,0.572
Derrick Coleman,13.733,1.833,8.1,31.6,0.749
Derrick Favors,11.833,1.233,7.678,26.3,0.789
Derrick Jones Jr.,8.82,1.02,3.52,24.16,0.553
Derrick Rose,18.389,5.344,3.322,31.6,0.856
Derrick White,13.662,4.65,3.838,29.875,0.741
Derrick Williams,9.325,0.675,4.675,23.525,0.624
Desmond Bane,18.65,3.95,4.517,30.633,0.885
Desmond Mason,13.325,1.788,4.888,32.725,0.611
Detlef Schrempf,7.5,2.6,4.3,21.6,0.667
Devean George,6.82,1.14,3.84,22.22,0.531
Devin Booker,24.818,5.327,4.064,34.355,0.996
Devin Brown,8.65,1.85,3.2,23.4,0.585
Devin Harris,12.4,4.892,2.383,27.467,0.716
Devin Vassell,15.5,2.85,4.025,30.475,0.734
Devonte' Graham,14.967,5.7,2.8,31.233,0.751
Dewayne Dedmon,10.4,1.45,7.7,25.0,0.782
Dickey Simpkins,4.2,1.4,5.4,23.9,0.46
Dikembe Mutombo,9.54,0.96,11.84,33.04,0.676
Dillon Brooks,15.086,1.971,3.329,30.114,0.677
Dion Glover,9.425,1.85,3.75,24.075,0.624
Dion Waiters,13.243,2.714,2.714,28.557,0.654
Dirk Nowitzki,21.411,2.495,7.779,34.589,0.916
Domantas Sabonis,16.58,4.93,10.91,31.44,1.031
Dominic McGuire,4.5,2.5,5.4,26.2,0.473
Dominick Barlow,7.7,1.2,4.8,23.8,0.576
Donald Sloan,7.2,4.0,2.75,21.25,0.656
Donatas Motiejūnas,12.0,1.8,5.9,28.7,0.686
Donnell Harvey,7.9,1.3,5.3,20.9,0.694
Donovan Clingan,12.1,2.1,11.6,27.2,0.949
Donovan Mitchell,25.267,4.878,4.356,33.844,1.019
Donte DiVincenzo,11.057,3.114,4.371,26.6,0.697
Donté Greene,8.5,0.9,3.1,21.4,0.584
Donyell Marshall,13.462,1.562,8.362,31.025,0.754
Dorell Wright,10.18,1.82,4.4,26.78,0.612
Dorian Finney-Smith,8.46,1.46,4.5,28.85,0.5
Doug Christie,10.467,4.15,4.1,33.15,0.565
Doug McDermott,9.838,1.062,2.6,22.8,0.592
Dragan Bender,6.5,1.6,4.4,25.2,0.496
Drake Powell,6.5,1.4,1.8,21.0,0.462
Draymond Green,9.038,6.169,7.085,29.9,0.746
Drew Eubanks,6.6,1.3,5.4,20.3,0.655
Drew Gooden,11.758,1.158,7.5,27.183,0.751
Duane Washington Jr.,9.9,1.8,1.7,20.2,0.663
Duncan Robinson,12.267,2.017,2.8,27.75,0.616
Dwayne Bacon,10.9,1.3,3.1,25.7,0.595
Dwight Howard,17.393,1.471,12.621,34.414,0.915
Dwight Powell,9.3,1.35,5.375,22.8,0.703
Dwyane Wade,21.206,5.276,4.594,33.271,0.934
Dylan Cardwell,5.4,1.4,7.5,20.6,0.694
Dylan Harper,11.8,3.9,3.4,22.6,0.845
Dyson Daniels,10.6,4.333,5.533,29.767,0.688
Dāvis Bertāns,11.633,1.3,3.633,25.5,0.65
E'Twaun Moore,9.86,2.16,2.38,25.56,0.563
Earl Boykins,12.45,4.075,1.725,26.35,0.693
Earl Clark,7.3,1.1,5.5,23.1,0.602
Earl Watson,7.478,4.978,2.433,24.456,0.609
Ed Davis,7.7,0.967,6.85,22.7,0.684
Eddie Griffin,8.3,0.867,6.067,23.933,0.636
Eddie Jones,15.475,2.975,4.312,35.275,0.645
Eddie Robinson,6.2,1.05,2.55,20.65,0.475
Eddy Curry,15.42,0.62,5.86,29.04,0.754
Eduardo Nájera,6.22,0.9,4.72,22.18,0.534
Egor Dёmin,10.3,3.3,3.2,25.2,0.667
Ekpe Udoh,5.6,0.9,4.2,21.1,0.507
Elden Campbell,13.233,1.433,7.433,30.167,0.733
Elfrid Payton,11.1,6.238,4.275,28.45,0.76
Elton Brand,17.367,2.242,9.142,35.175,0.817
Emanual Davis,5.8,2.2,2.5,20.8,0.505
Emeka Okafor,12.414,0.871,10.043,31.857,0.732
Emmanuel Mudiay,12.867,4.433,3.3,27.733,0.743
Enes Freedom,13.511,1.078,9.033,24.989,0.945
Eric Bledsoe,14.491,4.873,4.018,28.864,0.81
Eric Gordon,15.471,2.871,2.321,31.85,0.649
Eric Paschall,14.0,2.1,4.6,27.6,0.75
Eric Piatkowski,9.45,1.25,2.775,23.85,0.565
Eric Snow,8.25,5.9,2.962,31.925,0.536
Eric Williams,8.057,1.614,3.357,24.6,0.53
Erick Dampier,7.53,0.87,7.53,25.13,0.634
Erick Strickland,10.25,2.7,3.75,25.3,0.66
Ersan İlyasova,11.683,1.242,6.117,25.858,0.736
Ervin Johnson,3.533,0.467,7.133,23.767,0.468
Etan Thomas,8.0,0.65,5.95,22.45,0.65
